target_year,offset_pos,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model
2413,TRUE,374.0471544300244,482,-147.89386875766183,299.78773751532367,308.1477708226288,295.78773751532367,481,483,offset_only_acc95
3661,FALSE,398.7246967553973,516,-167.9009660149369,339.8019320298738,348.29801777889065,335.8019320298738,515,517,offset_only_acc95
3661,TRUE,338.35577395920495,482,-142.46292979555176,288.9258595911035,297.28589289840863,284.9258595911035,481,483,offset_only_acc95
4854,FALSE,434.66388930729175,504,-191.01258069409582,386.02516138819163,394.47427824674236,382.02516138819163,503,505,offset_only_acc95
4854,TRUE,369.582917914708,494,-157.07092624505117,318.14185249010234,326.55096801523973,314.14185249010234,493,495,offset_only_acc95
6026,FALSE,298.8023301403964,504,-122.91640628790968,249.83281257581936,258.28192943437006,245.83281257581936,503,505,offset_only_acc95
6026,TRUE,324.0237732722351,494,-147.2760270571014,298.5520541142028,306.9611696393402,294.5520541142028,493,495,offset_only_acc95
7273,TRUE,225.20949725443054,485,-88.759636265888,181.519272531776,189.891689779577,177.519272531776,484,486,offset_only_acc95
7273,FALSE,327.9903518791303,513,-139.8197427266164,283.6394854532328,292.1239319841431,279.6394854532328,512,514,offset_only_acc95
8557,TRUE,266.8061545506928,486,-107.99715874080798,219.99431748161595,228.37084572778113,215.99431748161595,485,487,offset_only_acc95
8557,FALSE,205.73274128565004,512,-85.59356649654599,175.18713299309198,183.66768468343352,171.18713299309198,511,513,offset_only_acc95
9808,TRUE,285.6551820072372,511,-121.33449432150579,246.66898864301157,255.1456378930906,242.66898864301157,510,512,offset_only_acc95
9808,FALSE,266.9684634855375,487,-120.35440105425603,244.70880210851206,253.08943292021834,240.70880210851206,486,488,offset_only_acc95
11091,TRUE,265.83729438122515,512,-113.74621660245309,231.49243320490618,239.97298489524772,227.49243320490618,511,513,offset_only_acc95
11091,FALSE,276.57151596879703,486,-109.63837346070677,223.27674692141355,231.65327516757873,219.27674692141355,485,487,offset_only_acc95
1,FALSE,503.70061476978134,513,-245.56992685916046,495.1398537183209,503.6243002492312,491.1398537183209,512,514,sigma_only_acc95
1,TRUE,496.74307062775165,485,-230.25048055757497,464.50096111514995,472.8733783629509,460.50096111514995,484,486,sigma_only_acc95
1206,FALSE,449.43657699984925,508,-215.09651794023026,434.1930358804605,442.6579319135616,430.1930358804605,507,509,sigma_only_acc95
1206,TRUE,449.3569783382702,490,-216.38023335178818,436.76046670357636,445.15335495916537,432.76046670357636,489,491,sigma_only_acc95
2413,FALSE,431.6672843740752,516,-213.97238633151363,431.94477266302727,440.4408584120441,427.94477266302727,515,517,sigma_only_acc95
2413,TRUE,374.0471544300244,482,-182.36906356728923,368.73812713457846,377.0981604418836,364.73812713457846,481,483,sigma_only_acc95
3661,FALSE,398.7246967553973,516,-192.6428743117818,389.2857486235636,397.7818343725805,385.2857486235636,515,517,sigma_only_acc95
3661,TRUE,338.35577395920495,482,-168.861886229302,341.723772458604,350.0838057659091,337.723772458604,481,483,sigma_only_acc95
4854,FALSE,434.66388930729175,504,-214.02191942585895,432.0438388517179,440.49295571026863,428.0438388517179,503,505,sigma_only_acc95
4854,TRUE,369.582917914708,494,-183.05496272270418,370.10992544540835,378.51904097054575,366.10992544540835,493,495,sigma_only_acc95
6026,FALSE,298.8023301403964,504,-145.1859733078636,294.3719466157272,302.82106347427793,290.3719466157272,503,505,sigma_only_acc95
6026,TRUE,324.0237732722351,494,-161.9682176383605,327.936435276721,336.3455508018584,323.936435276721,493,495,sigma_only_acc95
7273,TRUE,225.20949725443054,485,-110.6141767780422,225.2283535560844,233.60077080388538,221.2283535560844,484,486,sigma_only_acc95
7273,FALSE,327.9903518791303,513,-162.238240323926,328.476480647852,336.9609271787623,324.476480647852,512,514,sigma_only_acc95
8557,TRUE,266.8061545506928,486,-133.3319014261387,270.6638028522774,279.0403310984426,266.6638028522774,485,487,sigma_only_acc95
8557,FALSE,205.73274128565004,512,-102.4941662617424,208.9883325234848,217.46888421382633,204.9883325234848,511,513,sigma_only_acc95
9808,TRUE,285.6551820072372,511,-142.49970109902264,288.9994021980453,297.4760514481243,284.9994021980453,510,512,sigma_only_acc95
9808,FALSE,266.9684634855375,487,-132.5169436701454,269.0338873402908,277.4145181519971,265.0338873402908,486,488,sigma_only_acc95
11091,TRUE,265.83729438122515,512,-132.70979853626832,269.41959707253665,277.9001487628782,265.41959707253665,511,513,sigma_only_acc95
11091,FALSE,276.57151596879703,486,-137.89872691234044,279.7974538246809,288.173982070846,275.7974538246809,485,487,sigma_only_acc95
1,FALSE,503.70061476978134,513,-197.428297019384,400.856594038768,413.5832638351335,394.856594038768,511,514,offset_sigma_acc95
1,TRUE,496.74307062775165,485,-187.37897841976334,380.7579568395267,393.3165827112282,374.7579568395267,483,486,offset_sigma_acc95
1206,FALSE,449.43657699984925,508,-170.93394434268578,347.86788868537155,360.56523273502313,341.86788868537155,506,509,offset_sigma_acc95
1206,TRUE,449.3569783382702,490,-162.1478066442789,330.2956132885578,342.88494567194135,324.2956132885578,488,491,offset_sigma_acc95
2413,FALSE,431.6672843740752,516,-173.56690578317992,353.13381156635984,365.8779401898851,347.13381156635984,514,517,offset_sigma_acc95
2413,TRUE,374.0471544300244,482,-138.664836274782,283.329672549564,295.86972251052174,277.329672549564,480,483,offset_sigma_acc95
3661,FALSE,398.7246967553973,516,-160.75065649196736,327.5013129839347,340.24544160746,321.5013129839347,514,517,offset_sigma_acc95
3661,TRUE,338.35577395920495,482,-142.02442759696055,290.0488551939211,302.58890515487883,284.0488551939211,480,483,offset_sigma_acc95
4854,FALSE,434.66388930729175,504,-188.82422228831143,383.64844457662286,396.32211986444895,377.64844457662286,502,505,offset_sigma_acc95
4854,TRUE,369.582917914708,494,-154.1213206145766,314.2426412291532,326.8563145168593,308.2426412291532,492,495,offset_sigma_acc95
6026,FALSE,298.8023301403964,504,-118.93176677357586,243.86353354715172,256.5372088349778,237.86353354715172,502,505,offset_sigma_acc95
6026,TRUE,324.0237732722351,494,-147.1192974342956,300.2385948685912,312.85226815629727,294.2385948685912,492,495,offset_sigma_acc95
7273,TRUE,225.20949725443054,485,-88.38211238214782,182.76422476429565,195.32285063599713,176.76422476429565,483,486,offset_sigma_acc95
7273,FALSE,327.9903518791303,513,-138.0491385726157,282.0982771452314,294.8249469415969,276.0982771452314,511,514,offset_sigma_acc95
