CalBP,BP,Error
1478,1603,11
1479,1604,11
1480,1603,11
1481,1603,11
1482,1601,11
1483,1600,11
1484,1598,11
1485,1596,11
1486,1594,11
1487,1592,11
1488,1589,11
1489,1587,11
1490,1585,11
1491,1583,11
1492,1582,11
1493,1582,11
1494,1583,11
1495,1584,11
1496,1585,11
1497,1586,11
1498,1586,11
1499,1585,11
1500,1583,11
1501,1581,11
1502,1579,11
1503,1577,11
1504,1576,11
1505,1576,11
1506,1577,11
1507,1578,11
1508,1580,11
1509,1582,11
1510,1584,11
1511,1585,11
1512,1587,11
1513,1590,11
1514,1593,11
1515,1596,11
1516,1599,11
1517,1603,11
1518,1605,11
1519,1608,11
1520,1609,11
1521,1611,11
1522,1613,11
1523,1615,11
1524,1616,11
1525,1618,11
1526,1620,11
1527,1622,11
1528,1624,11
1529,1626,11
1530,1629,11
1531,1632,11
1532,1637,11
1533,1642,11
1534,1648,11
1535,1653,11
1536,1658,11
1537,1662,11
1538,1665,11
1539,1667,11
1540,1668,11
1541,1670,11
1542,1672,11
1543,1675,11
1544,1678,11
1545,1682,11
1546,1687,11
1547,1691,11
1548,1694,11
1549,1696,11
1550,1697,11
1551,1697,11
1552,1697,11
1553,1695,11
1554,1694,11
1555,1693,11
1556,1693,11
1557,1693,11
1558,1694,11
1559,1695,11
1560,1695,11
1561,1695,11
1562,1695,11
1563,1694,11
1564,1693,11
1565,1693,11
1566,1693,11
1567,1693,11
1568,1695,11
1569,1697,11
1570,1699,11
1571,1701,11
1572,1703,11
1573,1705,11
1574,1705,11
1575,1706,11
1576,1706,11
1577,1706,11
1578,1706,11
1579,1706,11
1580,1706,11
1581,1705,11
1582,1704,11
1583,1704,11
1584,1704,11
1585,1705,11
1586,1706,11
1587,1708,12
1588,1710,12
1589,1712,12
1590,1713,12
1591,1714,11
1592,1714,12
1593,1713,11
1594,1712,11
1595,1711,11
1596,1711,11
1597,1710,11
1598,1711,11
1599,1712,12
1600,1714,12
1601,1717,12
1602,1720,12
1603,1722,12
1604,1725,12
1605,1726,12
1606,1727,11
1607,1727,11
1608,1728,11
1609,1728,11
1610,1729,11
1611,1731,11
1612,1734,11
1613,1736,12
1614,1738,12
1615,1740,12
1616,1741,12
1617,1741,12
1618,1742,12
1619,1742,12
1620,1743,12
1621,1745,12
1622,1748,12
1623,1752,12
1624,1755,12
1625,1759,11
1626,1762,11
1627,1764,11
1628,1766,11
1629,1766,11
1630,1767,11
1631,1767,11
1632,1768,11
1633,1770,11
1634,1771,11
1635,1772,11
1636,1773,11
1637,1774,11
1638,1774,12
1639,1775,12
1640,1775,12
1641,1775,12
1642,1776,12
1643,1778,12
1644,1780,12
1645,1782,12
1646,1783,12
1647,1785,12
1648,1785,12
1649,1785,12
1650,1784,12
1651,1782,12
1652,1780,12
1653,1778,12
1654,1776,12
1655,1775,12
1656,1773,12
1657,1772,12
1658,1770,12
1659,1769,12
1660,1767,13
1661,1766,13
1662,1764,13
1663,1762,13
1664,1760,13
1665,1758,13
1666,1756,13
1667,1753,13
1668,1750,14
1669,1747,14
1670,1743,14
1671,1739,14
1672,1735,14
1673,1731,14
1674,1727,13
1675,1722,13
1676,1719,13
1677,1715,13
1678,1712,13
1679,1710,13
1680,1708,13
1681,1707,13
1682,1707,13
1683,1708,13
1684,1710,13
1685,1713,13
1686,1716,13
1687,1721,13
1688,1725,12
1689,1730,12
1690,1735,12
1691,1740,13
1692,1745,13
1693,1750,13
1694,1754,13
1695,1759,13
1696,1762,13
1697,1766,13
1698,1769,12
1699,1772,12
1700,1775,12
1701,1777,12
1702,1780,12
1703,1783,12
1704,1785,13
1705,1788,13
1706,1791,13
1707,1794,13
1708,1797,13
1709,1800,13
1710,1804,13
1711,1807,13
1712,1811,13
1713,1814,13
1714,1818,13
1715,1821,13
1716,1824,13
1717,1827,14
1718,1829,14
1719,1831,14
1720,1833,14
1721,1834,14
1722,1835,14
1723,1835,14
1724,1835,13
1725,1836,14
1726,1836,14
1727,1836,14
1728,1836,14
1729,1836,15
1730,1837,15
1731,1838,15
1732,1839,15
1733,1841,15
1734,1843,15
1735,1845,14
1736,1847,14
1737,1850,14
1738,1853,14
1739,1856,14
1740,1859,14
1741,1862,14
1742,1865,14
1743,1868,15
1744,1870,14
1745,1873,14
1746,1875,14
1747,1878,14
1748,1880,14
1749,1881,15
1750,1883,15
1751,1884,15
1752,1885,15
1753,1885,15
1754,1885,15
1755,1885,15
1756,1885,14
1757,1884,14
1758,1883,15
1759,1882,15
1760,1882,14
1761,1881,14
1762,1880,14
1763,1879,14
1764,1878,14
1765,1877,14
1766,1877,14
1767,1876,14
1768,1876,14
1769,1876,14
1770,1876,14
1771,1876,14
1772,1876,14
1773,1876,14
1774,1876,14
1775,1876,14
1776,1876,14
1777,1876,14
1778,1876,14
1779,1876,14
1780,1877,14
1781,1877,14
1782,1878,14
1783,1878,14
1784,1879,14
1785,1880,14
1786,1880,14
1787,1880,14
1788,1881,14
1789,1881,14
1790,1881,14
1791,1881,14
1792,1882,14
1793,1883,14
1794,1884,14
1795,1884,14
1796,1885,14
1797,1886,14
1798,1887,14
1799,1887,14
1800,1887,14
1801,1887,14
1802,1887,14
1803,1887,14
1804,1886,14
1805,1886,14
1806,1885,14
1807,1884,14
1808,1883,14
1809,1882,14
1810,1882,14
1811,1881,14
1812,1880,14
1813,1879,13
1814,1878,13
1815,1878,13
1816,1878,13
1817,1879,13
1818,1880,13
1819,1882,13
1820,1884,13
1821,1886,13
1822,1889,13
1823,1893,13
1824,1897,13
1825,1902,13
1826,1906,13
1827,1911,13
1828,1915,14
1829,1920,14
1830,1923,14
1831,1926,14
1832,1929,14
1833,1931,14
1834,1933,14
1835,1935,15
1836,1936,14
1837,1938,14
1838,1939,14
1839,1940,14
1840,1942,14
1841,1943,15
1842,1945,14
1843,1947,14
1844,1948,14
1845,1950,14
1846,1950,14
1847,1951,14
1848,1950,14
1849,1949,14
1850,1947,14
1851,1945,14
1852,1942,14
1853,1939,14
1854,1935,14
1855,1932,14
1856,1929,14
1857,1926,14
1858,1923,14
1859,1921,14
1860,1921,14
1861,1921,14
1862,1922,14
1863,1924,14
1864,1926,14
1865,1929,14
1866,1933,14
1867,1936,14
1868,1939,14
1869,1942,14
1870,1945,14
1871,1947,14
1872,1949,14
1873,1951,14
1874,1951,14
1875,1952,14
1876,1952,14
1877,1952,14
1878,1952,14
1879,1953,14
1880,1953,14
