"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"3606",1803,"TSB6999",92.45,1803,10792,47,25,1,19,0.739278564775595,1,1,1,74.5,206,0,0,0
"3607",1804,"TEB10763",88.5,1804,11798,63,24,1,20,5.91264178995113,1,1,1,120,264,0,0,0
"3608",1804,"TSB10912",88.5,1804,11798,63,24,1,20,5.91264178995113,1,0,0,142.5,275.5,23.5,7.5,0
"3609",1805,"TEB1697",98.95,1805,6306,43,6,1,20,14.6337020458353,1,1,1,39.5,109.5,0,0,0
"3610",1805,"TSB1892",98.95,1805,6306,43,6,1,20,14.6337020458353,1,1,1,77,149.5,0,0,0
"3611",1806,"TEB3288",101.75,1806,12214,81,29,1,16,8.2482423489769,1,1,1,41.5,104,0,0,0
"3612",1806,"TSB3336",101.75,1806,12214,81,29,1,16,8.2482423489769,1,1,1,45.5,98,0,0,0
"3613",1807,"TEB9993",91.75,1807,5909,81,20,1,14,21.9303469574037,1,1,1,126.5,262,0,0,0
"3614",1807,"TSB10069",91.75,1807,5909,81,20,1,14,21.9303469574037,1,1,1,151,274,0,0,0
"3615",1808,"TEB9001",97.65,1808,8904,94,13,1,21,10.9077475377815,1,0,0,59,109.5,11,3.5,0
"3616",1808,"TSB9134",97.65,1808,8904,94,13,1,21,10.9077475377815,1,1,1,56.5,116,0,0,0
"3617",1809,"TEB3951",110.6,1809,10942,180,36,1,17,4.60175256132917,1,1,1,59,110,0,0,0
"3618",1809,"TSB4038",110.6,1809,10942,180,36,1,17,4.60175256132917,1,1,1,73.5,125,0,0,0
"3619",1810,"TEB9396",108.35,1810,5727,125,20,1,19,14.8336639242198,1,1,1,66.5,128.5,0,0,0
"3620",1810,"TSB9557",108.35,1810,5727,125,20,1,19,14.8336639242198,1,0,0,35,68.5,23.5,3,0
"3621",1811,"TEB8159",0,1811,10685,37,21,1,25,15.0521658842927,0,0,0,0,0,0,0,0
"3622",1811,"TSB8261",0,1811,10685,37,21,1,25,15.0521658842927,0,0,0,0,0,0,0,0
"3623",1812,"TEB9281",117.1,1812,9057,83,31,1,9,26.4747259621334,1,0,0,52,91.5,10,1.5,0
"3624",1812,"TSB9363",117.1,1812,9057,83,31,1,9,26.4747259621334,1,1,1,49,98.5,0,0,0
"3625",1813,"TEB4900",70.3,1813,5109,85,7,1,18,21.4950181878458,1,1,1,45,83.5,0,0,0
"3626",1813,"TSB4940",70.3,1813,5109,85,7,1,18,21.4950181878458,1,1,1,57.5,95.5,0,0,0
"3627",1814,"TEB3238",94.85,1814,5573,56,24,1,21,9.2451534624286,1,0,1,87,221.5,8.5,0,0
"3628",1814,"TSB3407",94.85,1814,5573,56,24,1,21,9.2451534624286,1,1,1,69.5,184,0,0,0
"3629",1815,"TEB4624",101.6,1815,11359,197,34,1,10,22.2554300582032,1,1,1,140.5,272.5,0,0,0
"3630",1815,"TSB4794",101.6,1815,11359,197,34,1,10,22.2554300582032,1,1,1,81.5,209.5,0,0,0
"3631",1816,"TEB4745",0,1816,317,122,19,1,9,18.9540799477585,0,0,0,0,0,0,0,0
"3632",1816,"TSB4941",0,1816,317,122,19,1,9,18.9540799477585,0,0,0,0,0,0,0,0
"3633",1817,"TEB7856",110.1,1817,3912,156,30,1,30,1.93039853363275,1,1,1,47,104.5,0,0,0
"3634",1817,"TSB8040",110.1,1817,3912,156,30,1,30,1.93039853363275,1,1,1,36.5,86.5,0,0,0
"3635",1818,"TEB1764",0,1818,8782,198,36,1,13,7.56240610555257,0,0,0,0,0,0,0,0
"3636",1818,"TSB1947",0,1818,8782,198,36,1,13,7.56240610555257,0,0,0,0,0,0,0,0
"3637",1819,"TEB669",94.2,1819,1793,138,26,1,18,25.1966671529573,1,1,1,20.5,50,0,0,0
"3638",1819,"TSB858",94.2,1819,1793,138,26,1,18,25.1966671529573,1,1,1,62.5,106.5,0,0,0
"3639",1820,"TEB3828",88,1820,3972,73,11,1,27,13.731726972668,1,1,1,34.5,68,0,0,0
"3640",1820,"TSB3993",88,1820,3972,73,11,1,27,13.731726972668,1,1,1,53,92.5,0,0,0
"3641",1821,"TEB7617",122.05,1821,2139,87,29,1,27,13.9285067380583,1,0,1,34.5,69.5,11,0,0
"3642",1821,"TSB7716",122.05,1821,2139,87,29,1,27,13.9285067380583,1,1,1,39.5,81,0,0,0
"3643",1822,"TEB690",0,1822,11780,67,32,1,12,7.30641002076562,0,0,0,0,0,0,0,0
"3644",1822,"TSB888",0,1822,11780,67,32,1,12,7.30641002076562,0,0,0,0,0,0,0,0
"3645",1823,"TEB12080",80.05,1823,7703,151,35,1,30,23.4836604655439,1,1,1,142,280.5,0,0,0
"3646",1823,"TSB12146",80.05,1823,7703,151,35,1,30,23.4836604655439,1,1,1,103.5,260,0,0,0
"3647",1824,"TEB1327",83.2,1824,8272,156,21,1,10,25.857353802962,1,1,1,43,78.5,0,0,0
"3648",1824,"TSB1402",83.2,1824,8272,156,21,1,10,25.857353802962,1,0,1,35,71.5,12.5,0,0
"3649",1825,"TEB1813",129.4,1825,2828,106,5,1,25,5.68813829436176,1,0,1,24.5,63.5,6.5,0,0
"3650",1825,"TSB1859",129.4,1825,2828,106,5,1,25,5.68813829436176,1,1,1,26,59.5,0,0,0
"3651",1826,"TEB7665",88.1,1826,4156,115,38,1,27,2.90438762777532,1,1,1,60,152.5,0,0,0
"3652",1826,"TSB7857",88.1,1826,4156,115,38,1,27,2.90438762777532,1,1,1,81.5,177.5,0,0,0
"3653",1827,"TEB5325",76.45,1827,6898,121,16,1,26,14.5232326115239,1,1,1,41.5,96,0,0,0
