target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
181,10,173.7138792,24.58450761,-4.004045366,1,1,91,202,NA,NA,26.54049762958765
181,10,241.0293673,13.21325814,45.26325832,0,0,13,35,108,14,16.570763128904964
181,10,180.9739721,20.90247465,-0.156976492,1,1,83,149,NA,NA,23.1713928475155
182,10,99.86917539,22.9165921,-27.03339737,0,0,93,151,44,40,25.003403637860632
187,10,216.5003184,14.58306402,35.33257141,0,0,27,74,18,1,17.682357201782192
187,10,190.1091636,10.17049473,-3.763055056,1,1,54,111,NA,NA,14.263203113359838
189,10,171.4161521,9.747483663,-12.37041475,1,1,68,107,NA,NA,13.96472118448671
189,10,211.8591787,15.34490591,48.55303823,0,0,32,93,18,1,18.31573469415718
191,10,157.7321075,22.31014489,3.5036969,1,1,116,219,NA,NA,24.448774304917478
193,10,101.8264757,23.07362409,-43.80859435,0,0,93,155,33,28,25.1474079906186
196,10,149.2479559,30.33899437,-1.898170053,1,1,136,263,NA,NA,31.944554768894367
196,10,177.4078064,26.88442813,-5.829113605,1,1,99,198,NA,NA,28.68401080527504
197,10,228.3210577,22.85573281,46.88824741,0,1,33,102,29,NA,24.94763560504503
197,10,167.301717,14.77376473,-8.730253857,1,1,71,141,NA,NA,17.83995864057403
198,10,164.2397411,22.69625561,14.25696393,1,1,105,209,NA,NA,24.801613228063545
199,10,235.116256,24.27772655,42.01708613,0,1,32,107,32,NA,26.25658025022632
199,10,157.1603908,23.62610479,-13.85120354,1,1,120,224,NA,NA,25.65526900167022
199,10,139.2223781,23.38242597,-8.10673777,0,1,123,243,5,NA,25.431040958689252
202,10,189.2088495,17.47656961,17.19004286,1,1,68,127,NA,NA,20.135304450968093
203,10,172.4089496,12.29847107,-1.44327702,1,1,69,108,NA,NA,15.850942894970853
205,10,182.7246852,23.80578434,38.46300808,1,1,92,167,NA,NA,25.82083205558235
206,10,112.0785755,27.55730351,-48.82729722,0,0,135,191,19,8,29.315609779471725
206,10,99.55567602,34.87885305,-45.46129622,0,0,109,206,20,5,36.284079016608565
210,10,129.4845679,9.522972591,-32.1613769,0,0,69,148,13,6,13.808946627782195
212,10,185.0468199,11.35328276,26.04114241,0,1,48,108,1,NA,15.129343324431277
213,10,194.5278212,19.90185925,19.13656895,0,1,67,127,3,NA,22.27294326322434
214,10,212.2119298,10.82963075,48.38711678,0,0,24,68,45,6,14.740451220411996
214,10,198.4572449,16.92137204,45.41210779,0,1,69,115,4,NA,19.655351223422436
214,10,183.4752355,8.04715705,30.12192294,0,1,44,97,4,NA,12.835760070496981
215,10,227.9558678,12.72758134,38.17953293,0,0,20,44,49,45,16.186146136938103
217,10,153.244738,13.44583401,-7.396447659,1,1,84,183,NA,NA,16.756803162431453
218,10,139.5023828,32.58384499,20.02731243,1,1,156,254,NA,NA,34.08382247243328
218,10,184.5139597,22.76306749,1.098960242,0,1,86,156,3,NA,24.862768179635488
218,10,142.2843725,23.45936948,34.78483774,1,1,136,251,NA,NA,25.50180417929593
221,10,184.7459271,20.90998633,32.25083228,0,1,86,141,7,NA,23.17816921848632
222,10,193.5102094,31.14918892,12.03410334,0,1,110,211,7,NA,32.71501139192604
223,10,156.0925619,28.02407284,37.13837061,1,1,148,246,NA,NA,29.754808998574088
224,10,166.9767079,24.9615198,14.87984625,0,1,103,218,3,NA,26.890099864555953
224,10,72.23491553,20.21869465,-47.91004104,0,0,53,123,5,1,22.556498251057025
226,9,173.4479356,29.50867279,23.59918715,0,1,108,225,6,NA,30.850636457410182
227,9,156.5815279,31.58088196,27.52229869,0,1,156,251,1,NA,32.83827196079985
230,9,62.7541697,29.24130087,-43.48721716,1,1,67,139,NA,NA,30.594994305766143
233,9,88.35767042,11.8047883,-5.784114846,1,1,47,102,NA,NA,14.84429273518334
233,9,143.4193348,33.1595585,24.89053484,0,1,157,264,4,NA,34.35922466987464
235,9,74.77282171,11.005873,-5.374925537,1,1,32,65,NA,NA,14.217216341187504
237,9,96.44523881,12.27141573,9.087011032,1,1,57,131,NA,NA,15.218003943306474
238,9,80.45299986,22.47442082,-30.04562119,1,1,62,138,NA,NA,24.209493823590147
